Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	AWS-B-012927	1	1	FIBC MOBILE FRAME PAINT ASSEMBLY	AS PER BOM	2 PACK EPOXY		PANTONE 288 DN BLUE: 0,44,119	PAINT			HC	CL		C:\AWS PDM\AWS\007000-014000\	AWS-B-012927	Default		1059.2	24/05/2022							-	
1.1	  AWS-B-012928	2	1	FIBC MOBILE FRAME WELDMENT	AS PER BOM	NATURAL			WELDING			HC	DG		C:\AWS PDM\AWS\007000-014000\	AWS-B-012928	Default		1059.2	24/05/2022							-	
1.1.1	    AWS-B-012938	1	1	FIBC MOBILE FRAME WELDMENT CUTLIST	MS - C350LO	NATURAL			CUTTING			HC	 		C:\AWS PDM\AWS\007000-014000\	AWS-B-012938	Default<As Machined>		1058.0	24/05/2022							-	
1.1.1.1	      		2	125x125x9.0 SHS	MS - C350LO												Default<As Machined>		66.1									
1.1.1.2	      		2	125x75x5.0 RHS	MS - C350LO												Default<As Machined>		24.5									
1.1.1.3	      		2	125x75x6 UA	MS - C350LO												Default<As Machined>		18.7									
1.1.1.4	      		1	125x125x6.0 SHS	MS - C350LO												Default<As Machined>		45.8									
1.1.1.5	      		2	75x75x5.0 SHS	MS - C350LO												Default<As Machined>		7.5									
1.1.1.6	      		1	75x50x4.0 RHS	MS - C350LO												Default<As Machined>		10.2									
1.1.1.7	      		1	75x75x6 UA	MS - C350LO												Default<As Machined>		4.2									
1.1.1.8	      		1	125x125x9.0 SHS	MS - C350LO												Default<As Machined>		103.4									
1.1.1.9	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		15.7									
1.1.1.10	      		2	125x125x9.0 SHS	MS - C350LO												Default<As Machined>		52.6									
1.1.1.11	      		1	125x125x9.0 SHS	MS - C350LO												Default<As Machined>		103.4									
1.1.1.12	      		2	125x75x6 UA	MS - C350LO												Default<As Machined>		4.9									
1.1.1.13	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		20.6									
1.1.1.14	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		4.9									
1.1.1.15	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		7.9									
1.1.1.16	      		2	125x75x6 UA	MS - C350LO												Default<As Machined>		5.6									
1.1.1.17	      		1	75x75x5.0 SHS	MS - C350LO												Default<As Machined>		5.5									
1.1.1.18	      		1	75x75x5.0 SHS	MS - C350LO												Default<As Machined>		8.7									
1.1.1.19	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		5.6									
1.1.1.20	      		1	75x75x5.0 SHS	MS - C350LO												Default<As Machined>		6.7									
1.1.1.21	      		1	75x75x5.0 SHS	MS - C350LO												Default<As Machined>		8.7									
1.1.1.22	      		1	75x75x6 UA	MS - C350LO												Default<As Machined>		3.8									
1.1.1.23	      		1	75x75x6 UA	MS - C350LO												Default<As Machined>		4.2									
1.1.1.24	      		1	125x75x5.0 RHS	MS - C350LO												Default<As Machined>		20.8									
1.1.1.25	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		4.9									
1.1.1.26	      		1	125x125x9.0 SHS	MS - C350LO												Default<As Machined>		103.4									
1.1.1.27	      		1	125x125x9.0 SHS	MS - C350LO												Default<As Machined>		103.4									
1.1.1.28	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		15.7									
1.1.1.29	      		1	125x75x6 UA	MS - C350LO												Default<As Machined>		20.6									
1.1.1.30	      		1	125x75x5.0 RHS	MS - C350LO												Default<As Machined>		24.5									
1.1.1.31	      		1	125x125x6.0 SHS	MS - C350LO												Default<As Machined>		45.8									
1.1.2	    AWS-A-012925	1	3	JACKING PLATE BOLTED	SS304	NATURAL			LASERCUT			HC	CL		C:\AWS PDM\AWS\007000-014000\	AWS-A-012925	Default		0.4	24/05/2022						10	-	
1.1.2.1	      		1	Sheet	SS304												Default		0.4							10		
1.1.3	    AS 1112.1 S1 - M16-D-NMS		1	M16 HEX NUT MS Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M16-D-NMS		0.039			Costless Bolts						
