Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	AWS-Z-009023		1	GUARD ASSEMBLY	AS PER BOM	NATURAL			PURCHASE	ASSEMBLY					C:\AWS PDM\AWS\007000-014000\	AWS-Z-009023	Default		0.0	10/05/2021							-	
1.1	  OEM-F3SG-4RE1870P30	1	2	SAFETY LIGHT CURTAIN 1870MM	AS PER BOM 	NATURAL			PURCHASE			DMG	 		C:\AWS PDM\OEM\1046. Sensors\	OEM-F3SG-4RE1870P30	Default	OMRON	3.9	07/04/2020	http://www.omron.com.au/products/family/3403/		W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1046_F3SG LIGHT CURTAIN.pdf	1046	Sensors		YES	F3SG-4RE1870P30
1.2	  AWS-Z-010161		1	MCC AND PNEUMATIC SUPPLY ASSY	PER BOM	NATURAL			ASSEMBLY	ASSEMBLY		FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-010161	Default		200.0	11/08/2021							-	
1.2.1	    AWS-A-010926		1	J200684 CRYER MALT MCC	REFER DATA SHEET	NATURAL			PURCHASE			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010926	Default		200.0	20/10/2021							-	
1.3	  AWS-Z-010256		1	SUPPLY MANIFOLD ASSY	PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-010256	Default		0.0	24/08/2021							-	
1.3.1	    OEM-VP744-5DZ1-04-M-X555		1	DUAL RES PRE REL VALVE WITH SOFT START	PER DATASHEET	NATURAL			PURCHASE			FQ			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-VP744-5DZ1-04-M-X555	Default	SMC	1429.175	24/08/2021			W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\VP744-5DZ1-04-M-X555.pdf	1038	Pneumatics		YES	VP744-5DZ1-04-M-X555
1.3.2	    OEM-AN40-04	1	2	COMPACT RESIN TYPE/MALE THREAD	REFER DATA SHEET										C:\AWS PDM\OEM\1038. Pneumatics\	OEM-AN40-04	Default		0.1	10/07/2019	https://www.smcpneumatics.com/AN40-04.html	SMC	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1038_AN05 TO AN40.png	1038	Pneumatics		-	AN40-04
1.3.3	    Nipple 0.5		1												T:\Project\Cryer Malt\J200684 Semi Auto Bagging Line\6. Pneumatics\MODELS TO  INCLUDE IN PDM\PN01\	Nipple 0.5	Default											
1.3.4	    OEM-MA025015		1	COMPRESSION FITTING MALE ADAPTOR 25 X ½	PP	NATURAL			PURCHASE			DMG		False	C:\AWS PDM\OEM\1038. Pneumatics\	OEM-MA025015	Default	CONNECTA	0.1	24/08/2021	https://www.connecta.net.au/male-adaptor			1038	Pneumatics		YES	MA025015
1.3.5	    OEM-AC40C-04CE3-R-B		1	FILTERS AND PRESSURE GAUGE COMBO	PER DATASHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-AC40C-04CE3-R-B	Default	SMC	0.00	24/08/2021			W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\AC40C-04CE3-R-B.pdf	1038	Pneumatics		YES	AC40C-04CE3-R-B
