Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1	J200684	1	1	CRYER MALT GA								DMG	 		C:\AWS PDM\JOBS\Cryer Malt\J200684 Semi Auto Bagging Line\	J200684	Default		0.0	07/05/2021							-	
1.1	  AWS-Z-009041		1	FEED LINE ASSEMBLY	PER BOM	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-009041	Default		3172.4	11/05/2021							-	
1.1.1	    AWS-Z-009318		1	BAGGING LINE CONV ASSY	PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009318	Default		556.5	25/05/2021							-	
1.1.1.1	      AWS-Z-009320		1	ACCUMULATION CONVEYOR ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-Z-009320	Default		97.4	25/05/2021							-	
1.1.1.1.1	        AWS-B-003101	3	1	WELDED CROSS MEMBER	AS PER BOM	ZINC			WELDING			MF	CL		C:\AWS PDM\AWS\	AWS-B-003101	Default		11.2	30/01/2020							-	
1.1.1.1.1.1	          AWS-A-003102	3	1	CROSS MEMEBER SECTION	MS - GR250	NATURAL			CUTTING			MF	CL		C:\AWS PDM\AWS\	AWS-A-003102	Default<As Machined>		4.8	30/01/2020							-	
1.1.1.1.1.1.1	            		1	100x100x5 SHS	AS 1163-C350LO												Default<As Machined>		4.8									
1.1.1.1.1.2	          AWS-A-003103	4	2	CROSS MEMBER PLATE	MS - GR250	NATURAL			LASERCUT			MF	CL		C:\AWS PDM\AWS\	AWS-A-003103	Default		3.2	30/01/2020						10	-	
1.1.1.1.1.2.1	            		1	Sheet	MS - GR250												Default		3.2							10		
1.1.1.1.2	        AWS-Z-003112	3	1	CONVEYOR HEAD ASSEMBLY	AS PER BOM	NATURAL			ASSEMBLY			MF	CL		C:\AWS PDM\AWS\	AWS-Z-003112	Default		47.0	30/01/2020							-	
1.1.1.1.2.1	          AWS-B-003219	4	1	CONVEYOR HEAD PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003219	Default		8.6	30/01/2020							-	
1.1.1.1.2.1.1	            AWS-B-003218	4	1	CONVEYOR HEAD WELDMENT	AS PER BOM	NATURAL			WELDING			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003218	Default		8.6	30/01/2020							-	
1.1.1.1.2.1.1.1	              AWS-A-002963	5	1	SLIDER DECK HEAD	MS - GR250	NATURAL			LASERCUT	FOLDING		MF	CL		C:\AWS PDM\AWS\	AWS-A-002963	Default		8.3	30/01/2020						3	-	
1.1.1.1.2.1.1.1.1	                		1	Sheet	MS - GR250												Default		8.3							3		
1.1.1.1.2.1.1.2	              DIN 929-M6-N		4	M6 HEX WELD NUT MS - DIN929	Material <not specified>	NATURAL			Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\nuts\Weld Nuts\	weld nut 01_1_din	DIN 929-M6-N		0.0			Costless Bolts						
1.1.1.1.2.1.1.3	              AS 1111.2 - M12 x 45-NNSS		4	M12 x 45 MACHINE SCREW STAINLESS STEEL	Stainless Steel				Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\bolts and screws\machine screws\	hex screw gradec_1_as	AS 1111.2 - M12 x 45-NNSS		0.1			Costless Bolts						
1.1.1.1.2.2	          AWS-B-003113	6	1	WBC HEAD DRUM LAGGED	AS PER BOM	NATURAL			casting			MF	CL		C:\AWS PDM\AWS\	AWS-B-003113	Default		11.4	30/01/2020							-	
1.1.1.1.2.2.1	            AWS-A-003114	4	1	WBC 300 DRIVE DRUM	MS - GR250	NATURAL			welding	machine		MF	CL		C:\AWS PDM\AWS\	AWS-A-003114	Default<As Machined>		9.8	30/01/2020							NO	
1.1.1.1.2.2.1.1	              		1	40mm shaft	MS - GR250				Machined								Default<As Machined>		2.7									
1.1.1.1.2.2.1.2	              		2	6mm Disc	MS - GR250				Laser Cut								Default<As Machined>		0.6									
1.1.1.1.2.2.1.3	              		1	DN100 Pipe SCh40s	MS - GR250				Cut to Length								Default<As Machined>		5.9									
1.1.1.1.2.3	          AWS-B-003310	3	1	MOTOR TOUQUE ARM PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			MF	CT1		C:\AWS PDM\AWS\	AWS-B-003310	Default		1.9	30/01/2020							-	
